Date,Close,High,Low,Open,Volume,Year,Month,Day,Daily_Return,Price_Change,Days,PolyTrend,LoessTrend,Close_Diff
2019-08-13,-0.5196766627624038,-0.5021202729858911,-0.4928307391863453,-0.4848380940001242,-0.3310586901227858,2019,8,13,-0.4916250519870573,-0.4884574896353913,90,-0.6054414595526837,-0.4378819195162901,-0.03522625851122002
2019-08-14,-0.6791558701755858,-0.5757054188655247,-0.6709974028964668,-0.5486883981969316,0.13616110201736098,2019,8,14,-2.164548578580913,-1.8866585192738423,91,-0.6035617059059094,-0.454403374322871,-0.159479207413182
2019-08-15,-0.7265511282383238,-0.6867175077028459,-0.699400958866426,-0.6431868190370668,-0.818172124113664,2019,8,15,-0.7083914803001532,-1.1922491606815873,92,-0.6016887132102333,-0.47093065698720893,-0.04739525806273803
2019-08-16,-0.5978150950259175,-0.6277224928900826,-0.6684152163747972,-0.7108682295991022,-0.7656386147952655,2019,8,16,1.8674754042137447,1.6886044646175034,93,-0.5998224716737419,-0.4874807759216324,0.12873603321240634
2019-08-19,-0.6375246818698191,-0.6074231585333307,-0.6057988012439746,-0.5786981190668022,-1.0234646377717467,2019,8,19,-0.5771919613100667,-0.8356603766087318,96,-0.594264156100238,-0.5040700893541319,-0.03970958684390169
2019-08-20,-0.5939721367649028,-0.5902955505667495,-0.6045077079831398,-0.6457408899472188,-1.031326795628922,2019,8,20,0.5886132030382532,0.787751988996153,97,-0.5924248212813478,-0.5207009241451406,0.04355254510491635
2019-08-21,-0.6183103811711318,-0.6055199298553707,-0.5812685244109886,-0.5806135502953353,-1.2727818318984712,2019,8,21,-0.36339216418596326,-0.5259938993584191,98,-0.5905921886620735,-0.5373572536491014,-0.024338244406229004
2019-08-22,-0.676593898001576,-0.6638806964463831,-0.6606689040484605,-0.6253088117593318,-1.2225542151983568,2019,8,22,-0.8422538317873189,-0.7230547133174566,99,-0.5887662484505017,-0.5540128620855056,-0.05828351683044419
2019-08-23,-0.7131011419593231,-0.7070168420595977,-0.6864902741422813,-0.6987365153684638,-1.2525648545514492,2019,8,23,-0.5510905206531788,-0.1787910123850786,100,-0.5869469908547185,-0.5706331275778103,-0.03650724395774707
2019-08-26,-0.7207868138186373,-0.732390888526595,-0.6903633073316447,-0.6974597238215496,-1.465123908047224,2019,8,26,-0.13870808602641613,-0.31016130996811786,103,-0.5815292158429632,-0.5871688804838731,-0.007685671859314236
2019-08-27,-0.7335964287450153,-0.7063823515143159,-0.6955276797294527,-0.6961826883664737,-1.3874978624508927,2019,8,27,-0.2142872760620432,-0.5166080116427872,104,-0.5797365907911973,-0.603557639954984,-0.012809614926377999
2019-08-28,-0.7669013304570855,-0.7818707267062639,-0.7420060468737549,-0.7683333571590323,-1.415517435853142,2019,8,28,-0.5179294317780964,0.055806211296986714,105,-0.5779505993956513,-0.6197285530261621,-0.033304901712070234
2019-08-29,-0.7560133163520946,-0.766011856872361,-0.7200579565624387,-0.7466242435160695,-1.4557897227990408,2019,8,29,0.13691468161340448,-0.1037217682007143,106,-0.5761712318644118,-0.6356033040550234,0.010888014104990962
2019-08-30,-0.7681823165440905,-0.7767957722724878,-0.7562075782655936,-0.7402393107873539,-1.3829116037008737,2019,8,30,-0.20788606506735124,-0.37585182634411607,107,-0.5743984784055649,-0.6510998585068586,-0.01216900019199596
2019-09-03,-0.8879516924506556,-0.8148572051411026,-0.8449681984537306,-0.7977046822554459,-0.9127732832652603,2019,9,3,-1.8234395736760198,-1.286086614419407,111,-0.567373409455829,-0.6661373688523472,-0.11976937590656511
2019-09-04,-0.8053300535453399,-0.8256411205412294,-0.8330258953234975,-0.8736864561362272,-1.0656258847222917,2019,9,4,1.2888578731968374,1.0411156205250034,112,-0.5656335794802394,-0.6806394640999713,0.08262163890531571
2019-09-05,-0.7720252741646273,-0.7831394654732966,-0.7426514702076019,-0.7830188977531582,-1.2719054225269464,2019,9,5,0.4824285849917452,0.19656239659565786,113,-0.5639003048255603,-0.6945313949804618,0.033304779380712635
2019-09-06,-0.8136562178076787,-0.801535570517734,-0.7968761496782408,-0.7587559577467078,-1.3482551437958141,2019,9,6,-0.6521609317019557,-0.769973435494425,114,-0.5621735756998778,-0.7077422250298708,-0.04163094364305142
2019-09-09,-0.7893179734014497,-0.8237381335524459,-0.7936485404682558,-0.8008971483005523,-1.3131647336194172,2019,9,9,0.3469676286836503,0.20595186895686413,117,-0.5570325635776727,-0.720208669273568,0.024338244406229004
2019-09-10,-0.7079774429144965,-0.7381000911821219,-0.7813834017289969,-0.8040896149841614,-1.0265278161576592,2019,9,10,1.206615205742056,1.444621343835923,118,-0.5553319186488397,-0.7318768849342684,0.08134053048695322
2019-09-11,-0.676593898001576,-0.6492905653795127,-0.6929454932077831,-0.7159761268727417,-0.6947941057921903,2019,9,11,0.43133179556130946,0.6094557999449965,119,-0.5536377702894346,-0.742704849943825,0.0313835449129205
2019-09-12,-0.6721105696688944,-0.6907773263632317,-0.6729339194911487,-0.667450002951679,-1.2887954477937136,2019,9,12,0.03808624395171516,-0.03803125182471609,120,-0.5519501087075438,-0.7526637043068082,0.004483328332681613
2019-09-13,-0.7246297714391741,-0.69401245270887,-0.6981098656055911,-0.6604264305413446,-1.1446729047365327,2019,9,13,-0.7796869460830694,-0.9107332054386705,121,-0.5502689241112538,-0.7617382563317092,-0.05251920177027969
2019-09-16,-0.6490533107091923,-0.6708586378689428,-0.6638965139039771,-0.7019292259602348,-1.271114101443919,2019,9,16,1.0844441729865548,0.8065201985496084,124,-0.5452641343168504,-0.7699286440503318,0.07557646072998181
2019-09-17,-0.6580199680150335,-0.674030363624759,-0.6587323874537786,-0.6285012784429409,-1.473734842843178,2019,9,17,-0.1536271001107131,-0.40400233896762894,125,-0.5436087597438257,-0.7772504947144421,-0.00896665730584123
2019-09-18,-0.6599415694768984,-0.6651494352134157,-0.6458217027296339,-0.6540414978126291,-1.384647404786224,2019,9,18,-0.05374123146124205,-0.05679945199428848,126,-0.5419598131968333,-0.783739139633442,-0.0019216014618649302
2019-09-19,-0.688122527481427,-0.6810083050473188,-0.650340405200454,-0.6636188972249537,-1.3624138350018096,2019,9,19,-0.42833892177286287,-0.32893309478326466,127,-0.5403172848839591,-0.7894587001540911,-0.028180958004528578
2019-09-20,-0.7662609597449407,-0.7078415343743457,-0.7265131756279406,-0.6776660420456225,-0.9313735831308287,2019,9,20,-1.1554527483678012,-1.267321989511526,128,-0.5386811650132897,-0.7945001656550577,-0.07813843226351369
2019-09-23,-0.7406417292517068,-0.7844082042403292,-0.7549164856502901,-0.7708874274306816,-1.4778446071776106,2019,9,23,0.35769638874736287,0.47808192710026587,131,-0.5338111581353722,-0.7989744084802152,0.02561923049323389
2019-09-24,-0.8495230910532809,-0.7758442787780959,-0.8226973964754911,-0.7402393107873539,-1.0467107581892825,2019,9,24,-1.638782071681573,-1.567606144924015,132,-0.5322005741143842,-0.8030046211338135,-0.10888136180157415
2019-09-25,-0.8251848466470516,-0.8662399097821444,-0.8388356910551524,-0.8507003076766909,-1.2768660697463545,2019,9,25,0.3536468952636777,0.4123949953698455,133,-0.5305963495760323,-0.8067223306319434,0.024338244406229337
2019-09-26,-0.8322301477942214,-0.8402312516080999,-0.8149510841491544,-0.8219677442159774,-1.4314119281444877,2019,9,26,-0.13503606829704498,-0.11310228833186761,134,-0.5289984747284029,-0.8102642309112126,-0.007045301147169836
2019-09-27,-0.9142112930155563,-0.8548215038367356,-0.8795042624677997,-0.8226062619435154,-0.938920914320563,2019,9,27,-1.2954082957140407,-1.3048548145889727,135,-0.527406939779582,-0.813765919569382,-0.08198114522133482
2019-09-30,-0.9026827865075412,-0.928723774461599,-0.8769220759461298,-0.9062501259621689,-1.5226350822427304,2019,9,30,0.159645842804099,0.0933426210200112,138,-0.5226702764068346,-0.8173514486726298,0.011528506508015068
2019-10-01,-0.9872259039028861,-0.9429967814175939,-0.9750429366849328,-0.908165557190702,-0.8084380239095422,2019,10,1,-1.382313122930998,-1.11717990711334,139,-0.5211040031341114,-0.821124689198107,-0.08454311739534492
2019-10-02,-0.9968330542522298,-1.0038949043809062,-0.9969910269962489,-1.0167111228515058,-1.1996569567636612,2019,10,2,-0.18741803703622706,0.33732394947880423,140,-0.5195440208006283,-0.8251618103362699,-0.009607150349343674
2019-10-03,-0.9507186599451393,-0.9829612012749923,-0.9834347956416869,-0.9975560807571979,-1.1460853703255922,2019,10,3,0.7507491024468698,0.7314473603357866,141,-0.5179903196144716,-0.829510860317474,0.04611439430709052
2019-10-04,-0.9539210021908155,-0.9639304845235075,-0.9589046421052715,-0.9381752780605727,-1.215372763649162,2019,10,4,-0.07901215196310543,-0.18817332483901578,142,-0.5164428897837277,-0.834190215658349,-0.003202342245676282
